file_name,day,TVD_max,rotate_distance,rotate_hrs,slide_distance,slide_hrs,well,platform,rig,size,bit_size,bit_mfg,bit_type,bit_sn,bit_run_number,bit_run_daily_start,bit_run_daily_end,cum_depth,cum_time,dull,nozzles,wob,rpm,rop,flow,spp,tq,mw,mud_type,BHA,drive sys,AGS-BHA,Under Gauge MNB/SMNB,casing,survey
009#DDR no.1_BK-23-K_R_24-Nov-2022.pdf,24-Nov-2022,,,,,,BK-23-K_R,BK,T-18,,,,,,,,,,,,[],,,,,,,,Sea water,,,,,{},[]
010#DDR no.1_BK-23-K_R_24-Nov-2022_Rev01.pdf,24-Nov-2022,,,,,,BK-23-K_R,BK,T-18,,,,,,,,,,,,[],,,,,,,,Sea water,,,,,{},[]
011#DDR no.2_BK-23-K_R_25-Nov-2022.pdf,25-Nov-2022,,,,,,BK-23-K_R,BK,T-18,,,,,,,,,,,,[],,,,,,,1.03,Sea water,,,,,{},[]
012#DDR no.1_BK-23-D_R_25-Nov-2022_Rev01.pdf,25-Nov-2022,,,,,,BK-23-D_R,BK,T-18,,,,,,,,,,,,[],,,,,,,,Sea water,,,,,{},[]
013#DDR no.2_BK-23-D_R_26-Nov-2022_Rev01.pdf,26-Nov-2022,,,,,,BK-23-D_R,BK,T-18,,,,,,,,,,,,[],,,,,,,,Sea water,,,,,{},[]
014#DDR no.1_BK-23-L_R_26-Nov-2022.pdf,26-Nov-2022,,,,,,BK-23-L_R,BK,T-18,,,,,,,,,,,,[],,,,,,,,Sea water,,,,,{},[]
015#DDR no.2_BK-23-L_R_27-Nov-2022.pdf,27-Nov-2022,,,,,,BK-23-L_R,BK,T-18,,,,,,,,,,,,[],,,,,,,1.03,Sea water,,,,,{},[]
016#DDR no.1_BK-23-P_27-Nov-2022.pdf,27-Nov-2022,298.45,13.17,0.04,189.0,0.54,BK-23-P,BK,,12-1/4,12.250 in,PTTEP,Digger,LR4458,1RR,106.83,309.00,202.17,1.25,0-0-NO-A-X-I-NO-T,['3x20'],3/12,80/80,,"1,500.0","80/80 3,400 1,500.0",500/500,1.10,SPUD MUD,"1 12-1/4"" Digger Bit, 8"" Motor G0 POB 1.50° Bend, 11-1/4"" Motor Topstab, 6-3/4"" HEL-IDS, 22 x 5"" HWDP (Total length: 225.1 m)",Motor,Motor,,"[{'OD': 9.625, 'MD': 306.0, 'TVD': 296.0}]","[{'MD': 0.0, 'Incl': 0.0, 'Azm': None}, {'MD': 106.83, 'Incl': 0.0, 'Azm': None}, {'MD': 116.17, 'Incl': 14.86, 'Azm': None}]"
017#DDR no.4_BK-23-H_R_27-Nov-2022.pdf,27-Nov-2022,,,,,,BK-23-H_R,BK,T-18,12-1/4,12.250 in,PTTEP,Digger,LR4458,,,,,,,['3x20'],/,3x20,,/,/,/,Initial (m?) Added (m?),,,,,,{},[]
017#DDR no.4_BK-23-H_R_27-Nov-2022_Rev01.pdf,27-Nov-2022,,,,,,BK-23-H_R,BK,T-18,12-1/4,12.250 in,PTTEP,Digger,LR4458,1RR,,,,,,['3x20'],/,/,,/,/,,1.10,SPUD MUD,"1 12-1/4"" Digger Bit, 8"" Motor G0 POB 1.50° Bend, 11-1/4"" Motor Topstab, 6-3/4"" HEL-IDS, 22 x 5"" HWDP (Total length: 225.1 m)",Motor,Motor,,{},[]
018#DDR no.5_BK-23-H_R_28-Nov-2022.pdf,28-Nov-2022,297.71,3.67,0.01,198.5,0.65,BK-23-H_R,BK,T-18,,12.250 in,PTTEP,Digger,LR4458,1RR,106.83,309.00,202.17,1.25,0-0-NO-A-X-I-NO-T,['3x20'],5/10,80/80,,"1,250.0","80/80 3,200 1,250.0",500/500,1.10,WBM,"1 12-1/4"" Digger Bit, 8"" Motor G0 POB 1.50° Bend, 11-1/4"" Motor Topstab, 6-3/4"" HEL-IDS, 22 x 5"" HWDP (Total length: 225.1 m)",Motor,Motor,,"[{'OD': 9.625, 'MD': 306.2, 'TVD': 296.7}]","[{'MD': 0.0, 'Incl': 0.0, 'Azm': None}, {'MD': 106.83, 'Incl': 0.0, 'Azm': None}, {'MD': 116.17, 'Incl': 345.75, 'Azm': None}]"
